Player,Club,League,Group,Goals/90,Assists/90,(Goals+Assists)/90,Non-Penalty Goals/90,(Non-Penalty Goals + Assists)/90,Expected Goals/90,Expected Assists/90,(Expected Goals + Expected Assists)/90,Non-Penalty Expected Goals/90,(Non-Penalty Expected Goals + Expected Assists)/90,Progressive Carries,Progressive Passes,Progressive Passes Received
Matias Fernandez-Pardo,Lille,Ligue 1,Attacker,0.34,0.17,0.51,0.34,0.51,0.24,0.24,0.48,0.24,0.48,46,26,85
Enzo Fernández,Chelsea,Premier League,Midfielder,0.18,0.21,0.4,0.18,0.4,0.19,0.21,0.39,0.19,0.39,60,212,126
Jordan Ferri,Montpellier,Ligue 1,Midfielder,0.0,0.1,0.1,0.0,0.1,0.02,0.05,0.07,0.02,0.07,19,137,42
Kilian Fischer,Wolfsburg,Bundesliga,Defender,0.04,0.0,0.04,0.04,0.04,0.01,0.02,0.03,0.01,0.03,51,110,89
Phil Foden,Manchester City,Premier League,Midfielder,0.35,0.1,0.46,0.35,0.46,0.26,0.24,0.5,0.26,0.5,50,103,128
Wesley Fofana,Chelsea,Premier League,Defender,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.07,0.03,0.06,19,32,4
Youssouf Fofana,Milan,Serie A,Midfielder,0.04,0.22,0.25,0.04,0.25,0.05,0.12,0.17,0.05,0.17,44,176,32
Malick Fofana,Lyon,Ligue 1,Attacker,0.28,0.23,0.51,0.28,0.51,0.22,0.21,0.43,0.22,0.43,112,45,205
Pablo Fornals,Betis,La Liga,Midfielder,0.1,0.0,0.1,0.1,0.1,0.09,0.16,0.25,0.09,0.25,32,146,85
Dimitri Foulquier,Valencia,La Liga,Defender,0.0,0.04,0.04,0.0,0.04,0.02,0.05,0.07,0.02,0.07,48,97,66
Juan Foyth,Villarreal,La Liga,Defender,0.06,0.0,0.06,0.06,0.06,0.14,0.02,0.16,0.14,0.16,13,65,11
Alejandro Francés,Girona,La Liga,Defender,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.04,0.02,0.04,18,63,21
Przemysław Frankowski,Lens,Ligue 1,Defender,0.26,0.13,0.39,0.13,0.26,0.15,0.16,0.31,0.05,0.21,33,117,95
Davide Frattesi,Inter,Serie A,Midfielder,0.37,0.07,0.44,0.37,0.44,0.29,0.06,0.35,0.29,0.35,23,31,50
Morten Frendrup,Genoa,Serie A,Midfielder,0.06,0.0,0.06,0.06,0.06,0.05,0.03,0.07,0.05,0.07,24,106,29
Remo Freuler,Bologna,Serie A,Midfielder,0.03,0.06,0.08,0.03,0.08,0.04,0.04,0.08,0.04,0.08,39,208,56
Marco Friedl,Werder Bremen,Bundesliga,Defender,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,4,69,1
Marvin Friedrich,Gladbach,Bundesliga,Defender,0.0,0.09,0.09,0.0,0.09,0.04,0.06,0.1,0.04,0.1,11,36,3
Jeremie Frimpong,Leverkusen,Bundesliga,Defender,0.19,0.19,0.39,0.19,0.39,0.16,0.16,0.32,0.16,0.32,100,55,272
Jorge de Frutos,Rayo Vallecano,La Liga,Attacker,0.22,0.11,0.32,0.22,0.32,0.23,0.12,0.35,0.23,0.35,77,44,201
Angelo Fulgini,Lens,Ligue 1,Midfielder,0.09,0.09,0.17,0.09,0.17,0.21,0.33,0.53,0.21,0.53,29,69,113
Manuel Fuster,Las Palmas,La Liga,Attacker,0.18,0.09,0.27,0.18,0.27,0.07,0.16,0.23,0.07,0.23,23,71,75
Roberto Férnandez,Espanyol,La Liga,Attacker,0.36,0.0,0.36,0.36,0.36,0.21,0.04,0.25,0.21,0.25,7,17,50
Jonas Föhrenbach,Heidenheim,Bundesliga,Defender,0.0,0.05,0.05,0.0,0.05,0.01,0.06,0.08,0.01,0.08,36,59,50
Chris Führich,Stuttgart,Bundesliga,Midfielder,0.09,0.14,0.23,0.09,0.23,0.13,0.17,0.3,0.13,0.3,114,95,202
Matteo Gabbia,Milan,Serie A,Defender,0.08,0.0,0.08,0.08,0.08,0.05,0.01,0.05,0.05,0.05,13,74,2
Gianluca Gaetano,Cagliari,Serie A,Midfielder,0.18,0.36,0.54,0.18,0.54,0.43,0.2,0.63,0.43,0.63,11,41,82
Cody Gakpo,Liverpool,Premier League,Attacker,0.47,0.19,0.65,0.47,0.65,0.33,0.2,0.53,0.33,0.53,59,52,278
Iñigo Ruiz de Galarreta,Athletic Club,La Liga,Midfielder,0.0,0.24,0.24,0.0,0.24,0.03,0.18,0.21,0.03,0.21,27,137,39
Conor Gallagher,Atlético Madrid,La Liga,Midfielder,0.17,0.17,0.33,0.17,0.33,0.15,0.06,0.22,0.15,0.22,24,64,64
Antonino Gallo,Lecce,Serie A,Defender,0.0,0.07,0.07,0.0,0.07,0.01,0.09,0.1,0.01,0.1,57,107,110
Javi Galán,Atlético Madrid,La Liga,Defender,0.0,0.15,0.15,0.0,0.15,0.01,0.19,0.2,0.01,0.2,52,54,107
